Date,Revenue,COGS
7/4/2012,5123547.94,3982991.19
7/5/2012,2751773.45,2150580.23
7/6/2012,3054029.42,2517632.84
7/7/2012,2667930.94,2108246.62
7/8/2012,2360851.9,1808622.79
7/9/2012,3548386.46,2787841.68
7/10/2012,5234938.62,4044438.84
7/11/2012,5582884.78,4338313.07
7/12/2012,5734632.02,4458811.27
7/13/2012,5309511.71,4143402.78
7/14/2012,3820831.41,3075464.87
7/15/2012,3948841.28,3154482.05
7/16/2012,3503801.49,2708219.59
7/17/2012,4476729.49,3463061.65
7/18/2012,5184141.46,4072012.16
7/19/2012,6421487.11,5007270.91
7/20/2012,5171470.46,4213989.64
7/21/2012,3442157.02,2746075.45
7/22/2012,3117550.57,2531656.38
7/23/2012,4730517.69,3685006.66
7/24/2012,4096496.12,3248450.65
7/25/2012,5246688.08,4140019.37
7/26/2012,5851965.06,4579171.74
7/27/2012,5156699.45,3989402.2
7/28/2012,4326956.84,3403662.59
7/29/2012,4804199.65,3819645.91
7/30/2012,6586130.95,5195109.56
7/31/2012,9151622.14,7142891.18
8/1/2012,9148357.3,7308514.33
8/2/2012,9692427,7537501.15
8/3/2012,9297269.95,7118808.46
8/4/2012,6384195.03,5087528.11
8/5/2012,2359224.19,1863413.11
8/6/2012,3630003.7,2922718.71
8/7/2012,2240253.44,1781265.84
8/8/2012,2617553.36,1997006.42
8/9/2012,4478691.52,3621672.71
8/10/2012,3412496.65,2699279.56
8/11/2012,2732604.35,2168668.05
8/12/2012,3388181.83,2654275.25
8/13/2012,3928170.01,3189564.96
8/14/2012,4033912.16,3258198.58
8/15/2012,3780293.26,2886923.59
8/16/2012,5249978.18,4222455.97
8/17/2012,4089284.05,3238908.92
8/18/2012,3450015.71,2808916.94
8/19/2012,3904300.93,3006801.4
8/20/2012,3541027.32,2827038.81
8/21/2012,4147483.23,3364364.64
8/22/2012,4597682.81,3562468.33
8/23/2012,5478869.55,4195738.04
8/24/2012,4637850.57,3632210.67
8/25/2012,3589566.28,2784342.75
8/26/2012,4280204.53,3476942.48
8/27/2012,3038895.84,2365260.68
8/28/2012,9508676.62,7439851.59
8/29/2012,9260558.32,7336294.54
8/30/2012,10086534.1,7950911.72
8/31/2012,9104678.52,7277460.12
9/1/2012,8560208.92,6738335.17
9/2/2012,2587099.44,1946097.28
9/3/2012,3865505.01,3063431.08
9/4/2012,3645749.44,2876968.79
9/5/2012,2398185.51,1966376.48
9/6/2012,2858227.37,2147909.96
9/7/2012,3282753.8,2580035.06
9/8/2012,3666204.89,2804001.32
9/9/2012,4458501.42,3589475.8
9/10/2012,4548962.79,3517300.88
9/11/2012,4021565.55,3264364.41
9/12/2012,3335978.29,2673690.65
9/13/2012,2609609.29,2103806.97
9/14/2012,3729228.43,2835412.27
9/15/2012,3605125.64,2849539.9
9/16/2012,4452012.44,3561492.95
9/17/2012,4811788.67,3932069.23
9/18/2012,5078878.07,4123200.89
9/19/2012,3680241.62,3014323.76
9/20/2012,3763143.75,3080273.62
9/21/2012,3943768.14,2978697.93
9/22/2012,3872374.03,3011266.74
9/23/2012,4118299.54,3294951.2
9/24/2012,5733263.53,4585762.62
9/25/2012,5639897.53,4502395.62
9/26/2012,4592282.59,3670417.04
9/27/2012,7556892.66,6017108.13
9/28/2012,4892631.14,3884590.92
9/29/2012,5304374.46,4170120.63
9/30/2012,4694379.86,3812737.52
10/1/2012,4752532.1,3764447.04
10/2/2012,3233135.78,2566510.62
10/3/2012,3515132.03,2762823.63
10/4/2012,2398137.74,1902425.74
10/5/2012,2665953.06,2064899.19
10/6/2012,2205266.94,1755004.4
10/7/2012,3389598.07,2725469.75
10/8/2012,4037039.45,3285493.04
10/9/2012,4298675.76,3472700.63
10/10/2012,3548716.67,2839202.59
10/11/2012,3421490.39,2765374.16
10/12/2012,2380119.87,1830898.15
10/13/2012,2798011.44,2256579.15
10/14/2012,3055629.78,2516987.32
10/15/2012,3234517.3,2632811.8
10/16/2012,3549298.21,2763325.25
10/17/2012,3818048,3108682.75
10/18/2012,2909728.89,2301277.14
10/19/2012,2877379.81,2352068.71
10/20/2012,3242557.3,2647331.71
10/21/2012,2395609.91,1920246.47
10/22/2012,3596158.34,2873316.18
10/23/2012,3999141.88,3151858.27
10/24/2012,3829179.99,3037851.31
10/25/2012,3104460.52,2528526.7
10/26/2012,2138927.17,1671777.12
10/27/2012,2816872.34,2296869.06
10/28/2012,6259883.83,5044146.85
10/29/2012,5424539.1,4294440.71
10/30/2012,6347274.89,5049887.71
10/31/2012,4942677.89,3871571.88
11/1/2012,5536748.35,4440955.34
11/2/2012,1936831.08,1547786.14
11/3/2012,2911848.61,2151815.97
11/4/2012,2658832.75,2131401.7
11/5/2012,3332448.46,2732792.99
11/6/2012,3439495.01,2809375.18
11/7/2012,1969815.91,1538155.1
11/8/2012,2197716.17,1723412.77
11/9/2012,2920310.06,2308918.6
11/10/2012,3124993.27,2475389.25
11/11/2012,3484874.3,2713727.18
11/12/2012,3806978.06,3077336.49
11/13/2012,3848498.06,3048755.92
11/14/2012,3213518.64,2550177.92
11/15/2012,2996358.37,2282178.26
11/16/2012,2851503.98,2255928.16
11/17/2012,3258479.4,2499839.57
11/18/2012,3292697.97,2632996.71
11/19/2012,4654711.93,3714724.53
11/20/2012,3532139.01,2841184.71
11/21/2012,3144567.59,2465022.82
11/22/2012,2661394.83,2082526.75
11/23/2012,3625609.77,2879673.14
11/24/2012,2283866.51,1759438.38
11/25/2012,2891169.43,2288045.69
11/26/2012,3626699.25,2942841.67
11/27/2012,4703189.22,3751057.26
11/28/2012,3980270.66,3143037.5
11/29/2012,3116036.61,2564940.27
11/30/2012,3184691.98,2466641.44
12/1/2012,3064822.76,2435991.34
12/2/2012,1765509.34,1464812.23
12/3/2012,2315389.05,1807129.65
12/4/2012,2382954.42,1864688.02
12/5/2012,2286277.45,1849992.69
12/6/2012,2733678.5,2184618.1
12/7/2012,2065198.04,1633326.72
12/8/2012,2087384.34,1719369.91
12/9/2012,2430122.78,1883727.02
12/10/2012,2542389.69,2015472.58
12/11/2012,3699430.17,3001083.16
12/12/2012,4386420.92,3545221.89
12/13/2012,2326824.81,1839144.84
12/14/2012,2659317.57,2101555.8
12/15/2012,3385542.75,2693057.28
12/16/2012,3484853.43,2706611.68
12/17/2012,4281691.85,3433745.61
12/18/2012,4394537.67,3473710.24
12/19/2012,3785472.73,3004383.53
12/20/2012,3905985.95,3132486.67
12/21/2012,3966203.09,3174444.37
12/22/2012,3225123.87,2559516.54
12/23/2012,2151580.15,1770780.57
12/24/2012,3297376.6,2599138.83
12/25/2012,4917024.98,3856446.89
12/26/2012,3285221.25,2658633.45
12/27/2012,4994041.71,3924374.73
12/28/2012,8573663.31,6682336.48
12/29/2012,7842913.37,6260959.87
12/30/2012,6511908.92,5180121.12
12/31/2012,5573749.22,4432224.44
1/1/2013,5304546.99,4156070.2
1/2/2013,1606940.44,1237497.84
1/3/2013,2281680.01,1832133.02
1/4/2013,2376895.46,1940747.07
1/5/2013,2509462.77,1977027.71
1/6/2013,2603356.52,2060481.76
1/7/2013,3048100.39,2452517.39
1/8/2013,2449700.42,1973182.14
1/9/2013,2049715.7,1654806.5
1/10/2013,2794331.46,2122153.07
1/11/2013,2343077.25,1805692.13
1/12/2013,2814596.53,2241879.07
1/13/2013,2919719.62,2279740.92
1/14/2013,3077677.28,2477490.97
1/15/2013,2536405.93,2094291.34
1/16/2013,1849789.43,1445623.48
1/17/2013,2173214.95,1763012
1/18/2013,2099249.56,1615535.57
1/19/2013,2477132.79,2033637.15
1/20/2013,2522776.58,2018671.04
1/21/2013,4100379.42,3250868.59
1/22/2013,3538734.12,2801650.02
